user,latitude,longitude,date,day_of_week,hour,categoria,timestamp
User_3401,-26.489503,-49.028018,2018-07-08,Saturday,18,bakery,1531604419436
User_539,-14.4574,-46.433148,2018-07-08,Sunday,7,restaurant,1531650749377
User_789,-8.903859,-36.487485,2018-07-08,Saturday,9,night_club,1531571345816
User_2814,-22.82396,-43.012243,2018-07-08,Saturday,22,store,1531619273330
User_3432,-24.949576,-53.488507,2018-07-08,Sunday,3,restaurant,1531634482205
User_5899,-23.023833,-43.509475,2018-07-03,Sunday,3,pet_store,1531634975133
User_2117,-7.223518,-35.910378,2018-07-03,Saturday,20,restaurant,1531609651235
User_760,-23.531517,-46.890123,2018-07-02,Sunday,12,pet_store,1531670387748
User_2286,-1.446357,-48.490529,2018-07-03,Sunday,10,store,1531662854465
User_3763,-12.234119,-38.953312,2018-07-03,Sunday,12,school,1531668025619
User_5627,-23.541751,-46.629348,2018-07-03,Sunday,13,restaurant,1531671934764
User_787,-3.088815,-59.942324,2018-07-03,Saturday,22,place_of_worship,1531622566922
User_4007,-22.913042,-43.17121,2018-07-15,Saturday,20,doctor,1531612227683
User_4901,-23.508418,-46.449449,2018-07-15,Sunday,13,store,1531673375725
User_5617,-22.740572,-41.972438,2018-07-15,Sunday,13,hospital,1531671393882
User_2998,-22.559323,-47.164889,2018-07-15,Sunday,8,restaurant,1531655624590
User_4167,-23.517663,-46.421868,2018-07-15,Sunday,13,doctor,1531672333058
User_391,-10.890763,-37.07787,2018-07-09,Sunday,13,store,1531672383013
User_765,-9.458676,-35.538169,2018-07-09,Sunday,20,store,1531697978126
User_2926,-2.53397,-44.291229,2018-07-09,Sunday,18,school,1531691405120
User_1954,-12.241457,-38.949246,2018-07-09,Saturday,22,car_repair,1531619371879
User_2422,-20.219278,-40.275314,2018-07-09,Sunday,18,beauty_salon,1531688805010
User_1448,-21.802988,-48.193333,2018-07-09,Sunday,15,campground,1531678716772
User_1898,-7.234194,-35.917496,2018-07-09,Sunday,18,store,1531690502251
User_4142,-22.145943,-49.965196,2018-07-09,Sunday,8,hair_care,1531655322860
User_5451,-23.690506,-46.699434,2018-07-09,Sunday,17,school,1531685496036
User_4890,-22.893107,-43.126441,2018-07-10,Friday,8,bar,1531482884915
User_5692,-19.972985,-44.028886,2018-07-10,Friday,9,doctor,1531484025187
User_4436,-19.960783,-43.927698,2018-07-10,Thursday,21,restaurant,1531442131492
User_4644,-15.780979,-47.908624,2018-07-10,Thursday,16,doctor,1531424875890
User_426,-12.254678,-38.977697,2018-07-10,Thursday,21,hospital,1531441758848
User_2979,-29.578727,-50.806156,2018-07-10,Thursday,21,doctor,1531440510476
User_3391,-22.773109,-47.15076,2018-07-11,Wednesday,16,storage,1531338683839
User_1154,-16.655672,-49.260823,2018-07-11,Saturday,13,store,1530980305480
User_1477,-8.794859,-39.827066,2018-07-10,Friday,7,restaurant,1531479448343
User_675,-31.395185,-52.673046,2018-07-11,Friday,8,car_dealer,1531479792153
User_413,-5.300807,-44.493197,2018-07-10,Thursday,21,restaurant,1531442175196
User_3300,-22.958387,-43.065971,2018-07-11,Friday,6,cultural_venue,1531473875500
User_5140,-23.670074,-46.456905,2018-07-11,Friday,8,gas_station,1531481327591
User_1195,-23.541361,-46.638404,2018-07-11,Friday,8,bar,1531481344634
User_5976,-4.83406,-40.319114,2018-07-12,Friday,6,cafe,1531475068002
User_1449,-19.99357,-44.029428,2018-07-12,Friday,10,doctor,1531487312110
User_4054,-22.868993,-43.268939,2018-07-12,Friday,10,electronics_store,1531487325557
User_1055,-22.83695,-43.011305,2018-07-12,Friday,8,doctor,1531480764906
User_3021,-1.441684,-48.495186,2018-07-12,Friday,7,place_of_worship,1531477183132
User_4749,-3.113177,-60.046779,2018-07-12,Friday,9,well_being,1531489128467
User_740,-23.656267,-46.851134,2018-07-12,Friday,10,store,1531489197660
User_3835,-12.874975,-38.306098,2018-07-07,Friday,10,bakery,1531489358163
User_2954,-3.776728,-38.627615,2018-07-07,Friday,10,shopping_mall,1531489812108
User_2555,-23.036172,-44.151142,2018-07-07,Friday,2,qsr,1531459040228
User_4593,-22.861137,-43.089882,2018-07-07,Friday,8,courthouse,1531481116226
User_5489,-29.686353,-51.460796,2018-07-07,Friday,9,store,1531483512243
User_5969,-23.50208,-46.627122,2018-07-07,Friday,8,storage,1531482205705
User_936,-22.125119,-51.415169,2018-07-07,Thursday,17,bowling_alley,1531426219390
User_5072,-11.270689,-41.946469,2018-07-07,Friday,9,grocery_or_supermarket,1531484284693
User_4777,-27.812708,-50.31356,2018-07-07,Friday,9,bar,1531486566101
User_5495,-22.883535,-43.250734,2018-07-07,Friday,9,store,1531486720442
User_392,-9.441383,-40.493812,2018-07-07,Friday,10,bar,1531487510120
User_2444,-16.210526,-47.927689,2018-07-12,Friday,10,restaurant,1531487217988
User_842,-22.712527,-47.64019,2018-07-13,Friday,10,sports_center,1531487415640
User_1095,-22.885244,-43.124567,2018-07-13,Friday,10,car_repair,1531488001061
User_3684,-12.980724,-38.519979,2018-07-12,Friday,10,lodging,1531488625845
User_2947,-16.686471,-49.266087,2018-07-13,Thursday,12,doctor,1531409340344
User_3767,-21.895339,-49.58552,2018-07-13,Friday,10,gas_station,1531489045536
User_5463,-3.755869,-38.515454,2018-07-13,Friday,10,doctor,1531488614005
User_3251,-22.008418,-51.553788,2018-07-13,Friday,10,city_hall,1531487156200
User_4495,-22.861462,-43.102645,2018-07-13,Friday,10,store,1531488268308
